Scenario_ID,Node,Equipment,Scenario_Name,What_If_Question,Modbus_Commands,Consequences,Observable_Indicators,Time_to_Failure,Consequence_Severity,Likelihood,Risk_Level,Mitigation_PLC_Interlock,Mitigation_Alarm,Estimated_Damage_Cost
1.1,Wellfield,P-101 + XV-101,Pump Deadhead,Attacker starts pump with discharge valve closed,"Write Coil 0 = 1 (wellfield_on), Write Coil 4 = 0 (valve_101_open)","Pressure spike to 12 bar (normal: 3 bar), Pump deadhead, Pump health degrades 0.3%/sec (18%/min), Pipe stress >10 bar, Pipe health degrades 0.2%/sec","Register 17 (pressure_well) > 100, Register 10 (Q_wellfield) = 0, Register 31 (pump_well_health) decreasing, Register 34 (pipe_well_health) decreasing",5 min pump damage / 8 min pipe burst,4 - Major,D - High,HIGH,"IF valve_101_open = FALSE THEN wellfield_on = FALSE, IF pressure_well > 8 bar THEN wellfield_on = FALSE",pressure_well > 6 bar,"$15,000"
1.2,Wellfield,P-101,Normal Stop,Normal shutdown sequence,Write Coil 0 = 0 (wellfield_on),"Feed tank stops filling, Level drops if RO continues, No immediate damage","Register 15 (level_feed_tank) decreasing, Register 10 (Q_wellfield) = 0",30 min to low level,2 - Minor,E - Very High,LOW,None,level_feed_tank < 0.5m,$0
1.3,Wellfield,XV-101,Valve Closed During Operation,Valve closed while pump running,Write Coil 4 = 0 (valve_101_open),Same as 1.1 - deadhead condition,Same as 1.1,5 min,4 - Major,D - High,HIGH,Same as 1.1,Same as 1.1,"$15,000"
2.1,Feed Tank,TK-200,Overflow Attack,Fill tank faster than discharge,"Write Coil 0 = 1 (wellfield_on), Write Coil 1 = 0 (ro_feed_pump_on), Write Coil 4 = 1 (valve_101_open)","Tank level rises to 5.0m max, Overflow condition, Environmental spill, Equipment area flooding","Register 15 (level_feed_tank) > 480, Q_wellfield > 0, Q_feed = 0",20 min,4 - Major,D - High,HIGH,IF level_feed_tank > 4.5m THEN wellfield_on = FALSE,level_feed_tank > 4.8m,"$25,000"
2.2,Feed Tank,TK-200,Tank Depletion Attack,Drain tank faster than fill,"Write Coil 0 = 0 (wellfield_on), Write Coil 1 = 1 (ro_feed_pump_on)","Tank level drops to 0.2m, P-201 cavitation begins, Pump damage 0.5%/sec (30%/min), Complete pump failure","Register 15 (level_feed_tank) < 20, Register 32 (pump_feed_health) decreasing rapidly",3 min,4 - Major,D - High,HIGH,IF level_feed_tank < 0.5m THEN ro_feed_pump_on = FALSE,level_feed_tank < 0.5m,"$20,000"
3.1,RO Feed,P-201 + XV-201,P-201 Deadhead,Pump running with discharge valve closed,"Write Coil 1 = 1 (ro_feed_pump_on), Write Coil 5 = 0 (valve_201_open)","Pressure spike to 33 bar (normal: 12 bar), Immediate pipe stress, Pipe burst risk >20 bar, Pipe health degrades 0.5%/sec (30%/min)","Register 18 (pressure_feed) > 200, Register 11 (Q_feed) = 0, Register 35 (pipe_feed_health) decreasing rapidly",2 min to pipe burst,5 - Catastrophic,D - High,CRITICAL,"IF valve_201_open = FALSE THEN ro_feed_pump_on = FALSE, IF pressure_feed > 18 bar THEN ro_feed_pump_on = FALSE",pressure_feed > 15 bar,"$30,000"
3.2,RO Feed,P-201,P-201 Cavitation,Pump running with empty feed tank,"Write Coil 0 = 0 (wellfield_on), Wait for drain, Keep Coil 1 = 1 (ro_feed_pump_on)",Same as 2.2,Same as 2.2,3 min,4 - Major,C - Medium,MEDIUM,Same as 2.2,Same as 2.2,"$20,000"
4.1,RO Membrane,RO + XV-202 + XV-203,RO Overpressure Attack,Close permeate and reject valves while pump running,"Write Coil 1 = 1 (ro_feed_pump_on), Write Coil 6 = 0 (valve_202_open), Write Coil 7 = 0 (valve_203_open)","Pressure spike to 30+ bar, Membrane mechanical rupture, Membrane health degrades 1.0%/sec (60%/min), Pipe burst at feed side, Complete membrane failure","Register 18 (pressure_feed) > 300, Register 20 (dP_ro_true) > 350, Register 30 (membrane_health) dropping rapidly, Register 22 (TDS_perm) increasing",90 sec,5 - Catastrophic,D - High,CRITICAL,"IF (valve_202_open = FALSE AND valve_203_open = FALSE) THEN ro_feed_pump_on = FALSE, IF pressure_feed > 18 bar THEN ro_feed_pump_on = FALSE",pressure_feed > 18 bar,"$50,000"
4.2,RO Membrane,RO Membrane,Membrane Chemical Attack,Dose chlorine upstream of RO,"Write Coil 10 = 1 (cl_pump_on), Write Register 1 = 50 (Cl_dose = 5.0 mg/L)","Chlorine > 0.1 mg/L attacks polyamide membrane, Membrane health degrades 0.2%/sec (12%/min), Irreversible oxidation damage, Rejection rate drops, Product water contamination","Register 24 (Cl_true) > 10, Register 30 (membrane_health) decreasing, Register 22 (TDS_perm) increasing",8 min,5 - Catastrophic,C - Medium,HIGH,IF Cl_true > 0.05 mg/L THEN ro_feed_pump_on = FALSE,Cl_true > 0.05 mg/L,"$50,000"
4.3,RO Membrane,XV-203,Permeate Valve Closed,Close permeate valve only,Write Coil 7 = 0 (valve_203_open),"No permeate flow, Pressure builds in permeate side, Clearwell stops filling, Brine flow continues","Register 12 (Q_perm) = 0, Register 16 (level_clearwell) decreasing",Variable,3 - Moderate,D - High,MEDIUM,None,Q_perm < 10 m³/h,"$5,000"
